trading_day,trade_time,instrument_id,last_price,open_price,highest_price,lowest_price,close_price,settlement_price,upper_limit_price,lower_limit_price,pre_settlement_price,pre_close_price,pre_open_interest,cum_volume,cum_turnover,open_interest,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_volume1,bid_volume2,bid_volume3,bid_volume4,bid_volume5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_volume1,ask_volume2,ask_volume3,ask_volume4,ask_volume5
2024-07-02,2024-07-02 09:37:23.500,RB2408,3383.0,3399.0,3399.0,3380.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,377.0,12785320.0,6339.0,3381.0,3380.0,3379.0,3378.0,3377.0,11.0,15.0,6.0,9.0,5.0,3384.0,3385.0,3386.0,3387.0,3388.0,6.0,16.0,5.0,6.0,11.0
2024-07-02,2024-07-02 09:37:24.000,RB2408,3383.0,3399.0,3399.0,3380.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,377.0,12785320.0,6339.0,3381.0,3380.0,3379.0,3378.0,3377.0,11.0,15.0,6.0,9.0,5.0,3384.0,3385.0,3386.0,3387.0,3388.0,5.0,16.0,5.0,6.0,11.0
2024-07-02,2024-07-02 09:37:25.500,RB2408,3383.0,3399.0,3399.0,3380.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,377.0,12785320.0,6339.0,3381.0,3380.0,3379.0,3378.0,3377.0,11.0,15.0,6.0,9.0,5.0,3384.0,3385.0,3386.0,3387.0,3388.0,6.0,16.0,5.0,6.0,11.0
2024-07-02,2024-07-02 09:37:26.500,RB2408,3383.0,3399.0,3399.0,3380.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,377.0,12785320.0,6339.0,3381.0,3380.0,3379.0,3378.0,3377.0,11.0,15.0,6.0,9.0,5.0,3384.0,3385.0,3386.0,3387.0,3388.0,5.0,16.0,5.0,6.0,11.0
2024-07-02,2024-07-02 09:37:28.000,RB2408,3383.0,3399.0,3399.0,3380.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,377.0,12785320.0,6339.0,3381.0,3380.0,3379.0,3378.0,3377.0,11.0,15.0,6.0,9.0,5.0,3384.0,3385.0,3386.0,3387.0,3388.0,6.0,16.0,5.0,6.0,11.0
2024-07-02,2024-07-02 09:37:28.500,RB2408,3383.0,3399.0,3399.0,3380.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,377.0,12785320.0,6339.0,3381.0,3380.0,3379.0,3378.0,3377.0,11.0,15.0,6.0,9.0,5.0,3384.0,3385.0,3386.0,3387.0,3388.0,5.0,16.0,5.0,6.0,11.0
2024-07-02,2024-07-02 09:37:31.500,RB2408,3383.0,3399.0,3399.0,3380.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,377.0,12785320.0,6339.0,3381.0,3380.0,3379.0,3378.0,3377.0,11.0,15.0,6.0,9.0,5.0,3384.0,3385.0,3386.0,3387.0,3388.0,6.0,16.0,5.0,6.0,11.0
2024-07-02,2024-07-02 09:37:32.000,RB2408,3383.0,3399.0,3399.0,3380.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,377.0,12785320.0,6339.0,3381.0,3380.0,3379.0,3378.0,3377.0,11.0,15.0,6.0,9.0,5.0,3384.0,3385.0,3386.0,3387.0,3388.0,5.0,16.0,5.0,6.0,11.0
2024-07-02,2024-07-02 09:37:34.500,RB2408,3383.0,3399.0,3399.0,3380.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,377.0,12785320.0,6339.0,3381.0,3380.0,3379.0,3378.0,3377.0,11.0,15.0,6.0,9.0,5.0,3384.0,3385.0,3386.0,3387.0,3388.0,6.0,16.0,5.0,6.0,11.0
2024-07-02,2024-07-02 09:37:36.000,RB2408,3383.0,3399.0,3399.0,3380.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,377.0,12785320.0,6339.0,3381.0,3380.0,3379.0,3378.0,3377.0,11.0,15.0,6.0,9.0,5.0,3384.0,3385.0,3386.0,3387.0,3388.0,5.0,16.0,5.0,6.0,11.0
2024-07-02,2024-07-02 09:37:38.000,RB2408,3383.0,3399.0,3399.0,3380.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,377.0,12785320.0,6339.0,3381.0,3380.0,3379.0,3378.0,3377.0,11.0,15.0,6.0,9.0,5.0,3384.0,3385.0,3386.0,3387.0,3388.0,6.0,16.0,5.0,6.0,11.0
2024-07-02,2024-07-02 09:37:38.500,RB2408,3383.0,3399.0,3399.0,3380.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,377.0,12785320.0,6339.0,3381.0,3380.0,3379.0,3378.0,3377.0,11.0,15.0,6.0,9.0,5.0,3384.0,3385.0,3386.0,3387.0,3388.0,5.0,16.0,5.0,6.0,11.0
2024-07-02,2024-07-02 09:37:39.000,RB2408,3383.0,3399.0,3399.0,3380.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,377.0,12785320.0,6339.0,3381.0,3380.0,3379.0,3378.0,3377.0,11.0,15.0,6.0,9.0,5.0,3384.0,3385.0,3386.0,3387.0,3388.0,6.0,16.0,5.0,6.0,11.0
2024-07-02,2024-07-02 09:37:39.500,RB2408,3383.0,3399.0,3399.0,3380.0,0.0,0.0,3555.0,3216.0,3386.0,3383.0,0.0,377.0,12785320.0,6339.0,3381.0,3380.0,3379.0,3378.0,3377.0,11.0,15.0,6.0,9.0,5.0,3384.0,3385.0,3386.0,3387.0,3388.0,5.0,16.0,5.0,6.0,11.0
